DATE (Month/Day/Year),USERNAME Tik-Tok (@username) ,FOLLOWERS (.K) ,link video,DESCRIPTION ,"PV
(20210612 18.30pm)",PRICE,REMARK
06/11/2021,@syarifah.ulfa,9685,https://vt.tiktok.com/ZSJxXKjAM/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@laurenkuin ,10.7k,https://vm.tiktok.com/ZMd8AhS96/,Flirting tips! So what are you waiting for? Download UKI App https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@deborahsyella ,640,https://vt.tiktok.com/ZSJxQgA7j/,"Nih tips lagi nih,yuk langsung kepoin dan Download UKI sekarang ya https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/11/2021,@dinantinanda ,2445,https://vt.tiktok.com/ZSJxtrQt7/,Tips buat orang yang menanyakan kabarmu! ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@adarasa.com,487,https://vt.tiktok.com/ZSJx7Gtg6/,"hello girls, don't forget to download UKI and find your partner there ðŸŒ» https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/11/2021,@wirafitamaatmaj,2463,https://vt.tiktok.com/ZSJxgf1bd/,"Yok.. download UKI sekarang!
https://uki.booyah.cc/mobile/#uki #ukiapp",,,
06/11/2021,@yaniinach ,2371,https://vt.tiktok.com/ZSJx4Lfuq/,ayo cari soulmate kamu di uki.. https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tipsandtrick #relationship #fypã‚· ,,,
06/11/2021,@memelahap,92.9k,https://vt.tiktok.com/ZSJxggPNa/,ips Jika Dia Bertanya Apa Kabar. Ingin Tips Lainnya Dari Aku? Yuk Temui Aku di Uki. Download Uki Ya. #uki #ukiapp https://uki.booyah.cc/mobile/,,,
06/11/2021,@sindukinanti93,25,https://vt.tiktok.com/ZSJxGTnKb/,yuk download https://uki.booyah.cc/mobile/#uki #ukiapp,,,
06/11/2021,@watirahma021_,150,https://vt.tiktok.com/ZSJxsM2yJ/,"Tips penting tonton sampai akhir, & download UKI https://uki.booyah.cc/mobile/
#ukiapp #uki",,,
06/11/2021,@kepodehh29,45,https://vt.tiktok.com/ZSJxtub79/,Arti apa kabar.Yuk download  UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,,,
06/11/2021,@mputrimeput,1454,https://vt.tiktok.com/ZSJx4fMJL/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@triagustinnurrullita,70.8k,https://vt.tiktok.com/ZSJxsS8Km/,"bahasa tubuh, pada tau aplikasi UKI belum? Kalau belum cobain aja langsung download, dijamin seruuuðŸ’œ https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",,,
06/11/2021,@sitifatimahofficial29,124.4k,https://vt.tiktok.com/ZSJxswtUx/,"Menggoda, pada tau aplikasi UKI belum? Kalau belum cobain aja langsung download, dijamin seruuuðŸ’œ https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",,,
06/11/2021,@tiusicaagnes,474,https://vt.tiktok.com/ZSJx4g6UE/,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@rakaylst,4611,https://vt.tiktok.com/ZSJx4rnHy/,Ini dia tips yang cocok buat orang yang mau PDKT https://uki.booyah.cc/mobile/ #Uki #Ukiapp #FYP,,,
06/11/2021,@freaklines27 ,22.0k,https://vt.tiktok.com/ZSJxbtf7W/,This is a tips for you~ Download Uki to find your partner https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@yudiharians1,16.5k,https://vt.tiktok.com/ZSJxn9CDv/,Yuk download aplikasi UKI sekarang https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@kennie92,42.1k,https://vt.tiktok.com/ZSJxbCkKQ/,Tips menggoda dengan menanyakan apa kabar kepada pacarmu https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@syarifah.ulfa,9685,https://vt.tiktok.com/ZSJxV4Exm/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@laurenkuin ,10.7k,https://vm.tiktok.com/ZMd8AMKoP/,It is work i promise! The tips for you guys who want to find a mate! Download UKI App https://uki.booyah.cc/mobile/ #uki #ukiapp ,,,
06/11/2021,@deborahsyella ,640,https://vt.tiktok.com/ZSJxQc4Yq/,Yuk Download UKI sekarang dan temukan pasanganmu https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@dinantinanda ,2445,https://vt.tiktok.com/ZSJxtMpG6/,Selanjutnya mau tips apalagi nih? ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@adarasa.com,487,https://vt.tiktok.com/ZSJx7EAfG/,"download UKI and use these tips for dating, good luck!! https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/11/2021,@wirafitamaatmaj,2463,https://vt.tiktok.com/ZSJxgkyBB/,Yok.. download UKI sekarang! https://uki.booyah.cc/mobile/#uki #ukiapp,,,
06/11/2021,@yaniinach ,2371,https://vt.tiktok.com/ZSJx4ujPv/,temukan soulmate kmu di uki.. dan terapin tips2 diatas ya... https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tipsandtrick #relationship #fypã‚·,,,
06/11/2021,@memelahap,92.9k,https://vt.tiktok.com/ZSJxgu3dF/,Tips Menggoda Untuk Para Gadis. Ingin Tips Lainnya Dari Aku? download Uki Dan Temui Aku Disana #uki #ukiapp https://uki.booyah.cc/mobile/,,,
06/11/2021,@sindukinanti93,25,https://vt.tiktok.com/ZSJxGgNjg/,download buruan https://uki.booyah.cc/mobile/#uki #ukiapp,,,
06/11/2021,@watirahma021_,150,https://vt.tiktok.com/ZSJxsXq8f/,"Wajib nonton gak nyesel dan juga download UKI
https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/11/2021,@kepodehh29,45,https://vt.tiktok.com/ZSJxttKCe/,Cara menggoda gebetan! Unduh UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,,,
06/11/2021,@mputrimeput,1454,https://vt.tiktok.com/ZSJx4YMDw/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@triagustinnurrullita,70.8k,https://vt.tiktok.com/ZSJxs5kKh/,"tips lagi ni, pada tau aplikasi UKI belum? Kalau belum cobain aja langsung download, dijamin seruuuðŸ’œ https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",,,
06/11/2021,@tiusicaagnes,474,https://vt.tiktok.com/ZSJx47aNk/,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@freaklines27 ,22.0k,https://vt.tiktok.com/ZSJxgdA4f/,This is a tips to how to give him a hint about your feeling~ Download Uki to find your partner https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
06/11/2021,@yudiharians1,16.5k,https://vt.tiktok.com/ZSJxna1qj/,"Tunggu apalagi, yok download aplikasi UKI sekarang https://uki.booyah.cc/mobile/ #uki #ukiapp",,,
06/11/2021,@kennie92,42.1k,https://vt.tiktok.com/ZSJxbmrDn/,Tips menggoda dengan menggunakan bahasa tubuh  https://uki.booyah.cc/mobile/ #uki #ukiapp,,,
