DATE (Month/Day/Year),USERNAME Tik-Tok (@username) ,FOLLOWERS (.K) ,link video,DESCRIPTION ,"PV(20210614 18.30pm)",REMARK
06/13/2021,@syarifah.ulfa,10.2k,https://vt.tiktok.com/ZSJQjbHLW/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@laurenkuin ,10.7k,https://vm.tiktok.com/ZMdF2KkHU/,This is translate about GIRLS SAY. Download UKI App & find a mate https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@deborahsyella ,648,https://vt.tiktok.com/ZSJQFerWH/,"Nih kata-kata wanita tuh ada artinya,langsung kepoin dan download UKI ya 😍 https://uki.booyah.cc/mobile/ #uki #ukiapp ",,
06/13/2021,@dinantinanda ,2445,https://vt.tiktok.com/ZSJQApWaD/,"Berikut ciri-ciri orang yg tidak menyukai kita, ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp",,
06/13/2021,@adarasa.com,487,https://vt.tiktok.com/ZSJQyPga2/,"don't worry, download UKI and find your ideal type there. https://uki.booyah.cc/mobile/ #uki #ukiapp",,
06/13/2021,@wirafitamaatmaj,2463,https://vt.tiktok.com/ZSJQkM9SQ/,"Yok.. download UKI sekarang!
https://uki.booyah.cc/mobile/#uki #ukiapp",,
06/13/2021,@yaniinach ,2371,https://vt.tiktok.com/ZSJQkGV6x/,"temukan pasangan yang kamu inginkan di uki..
https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tipsandtrick #relationship #fypシ",,
06/13/2021,@memelahap,92.9k,https://vt.tiktok.com/ZSJQSRH15/,"Tanda Anda Lebih Menarik Dari yang Anda Pikirkan, Ingin Tanda Atau Tips Lain Dari Aku? Download Uki Aja. #uki #UKIapp https://uki.booyah.cc/mobile/",,
06/13/2021,@watirahma021_,150,https://vt.tiktok.com/ZSJQAusvj/,"Kalian harus tau ini, & download UKI skarang juga https://uki.booyah.cc/mobile/
#ukiapp #uki",,
06/13/2021,@kepodehh29,45,https://vt.tiktok.com/ZSJQDJSCf/,Menolak halus.Yuk download  UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,,
06/13/2021,@mputrimeput,1665,https://vt.tiktok.com/ZSJQjGYRr/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@triagustinnurrullita,70.8k,https://vt.tiktok.com/ZSJQA1dQ7/,"kode cowok !! Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",,
06/13/2021,@tiusicaagnes,475,https://vt.tiktok.com/ZSJQMcQSH/,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@freaklines27 ,22.0k,https://vt.tiktok.com/ZSJQrWFbD/,Feel lonely and want to talk to someone? Download Uki so you can find a new friends in here https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@yudiharians1,16.5k,https://vt.tiktok.com/ZSJQBWU6e/,"Yuk download aplikasi UKI sekarang https://uki.booyah.cc/mobile/ #uki #ukiapp , temukan teman barumu disana",,
06/13/2021,@yurayurari10,420,https://vt.tiktok.com/ZSJQAyCuH/,"Buat para cowo nih~ yg cewe jg jangan kebanyakan ngode PHP, klo gk mau blg aj. Mending cari yg pasti aja di #Uki #Ukiapp https://uki.booyah.cc/mobile/",,
06/13/2021,@kennie92,42.1k,https://vt.tiktok.com/ZSJQA92oc/,Menerjemahkan hal-hal yang dikatakan gadis kepada pria https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@syarifah.ulfa,10.2k,https://vt.tiktok.com/ZSJQ6cnPy/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@laurenkuin ,10.7k,https://vm.tiktok.com/ZMdF2G77o/,"Hey, these one meaning of men’s words! Download UKI App https://uki.booyah.cc/mobile/ #uki #ukiapp",,
06/13/2021,@deborahsyella ,648,https://vt.tiktok.com/ZSJQNowLK/,"Nih arti kata-kata yang cowo ucapin,langsung kepoin dan Download UKI sekarang ya https://uki.booyah.cc/mobile/ #uki #ukiapp",,
06/13/2021,@dinantinanda ,2445,https://vt.tiktok.com/ZSJQACgat/,"Berikut arti ucapan pria, ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp",,
06/13/2021,@adarasa.com,487,https://vt.tiktok.com/ZSJQyaLc4/,now do you understand? let's go! download UKI and use these tips to check!! https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@wirafitamaatmaj,2463,https://vt.tiktok.com/ZSJQhPRXa/,"Yok.. download UKI sekarang!
https://uki.booyah.cc/mobile/#uki #ukiapp",,
06/13/2021,@memelahap,92.9k,https://vt.tiktok.com/ZSJQBn7Lv/,beberapa Tanda Orang Lain tidak menyukai Anda. Ingin Tanda/Tips Lainnya? download uki dan temui aku disana #uki #ukiapp https://uki.booyah.cc/mobile/,,
06/13/2021,@watirahma021_,150,https://vt.tiktok.com/ZSJQD1S3P/,"tanda orang tidak menyukaimu, dan jangan lupa download uki
https://uki.booyah.cc/mobile/
#uki #ukiapp",,
06/13/2021,@kepodehh29,45,https://vt.tiktok.com/ZSJQD5vRw/,"Cara mengetahui perkataan pria! Unduh UKI
 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni",,
06/13/2021,@mputrimeput,1665,https://vt.tiktok.com/ZSJQ6emum/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@triagustinnurrullita,70.8k,https://vt.tiktok.com/ZSJQStKdu/,"kode cewek !! Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",,
06/13/2021,@tiusicaagnes,475,https://vt.tiktok.com/ZSJQMb1xp/,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@freaklines27 ,22.0k,https://vt.tiktok.com/ZSJQhNF3e/,Want to try this tips but didnt have a partner? Download Uki so you can find a new partner in here https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@yudiharians1,16.5k,https://vt.tiktok.com/ZSJQB77Gn/,Yuk buruan download aplikasi UKI https://uki.booyah.cc/mobile/ #uki #ukiapp kita ketemu disana ya,,
06/13/2021,@yurayurari10,420,https://vt.tiktok.com/ZSJQAEAVH/,Nah yg ini buat cewe girls. Makanya cari yg pasti aja di #Uki #Ukiapp https://uki.booyah.cc/mobile/,,
06/13/2021,@kennie92,42.1k,https://vt.tiktok.com/ZSJQAL8gL/,Apa arti sesungguhnya ucapan pria  https://uki.booyah.cc/mobile/ #uki #ukiapp,,
