username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag,statusCode,itemInfo,shareMeta
_babbybo,538.0,2021-06-09,jangan lupa download uki🥰 #ukidownloadapp #uki #ukiapp,6971695557970578689,https://www.tiktok.com/@_babbybo/video/6971695557970578689?lang=en,16100.0,0.0,176.0,1.0,"['ukidownloadapp', 'uki', 'ukiapp']",,,
afia_300,12600.0,2021-06-09,Jangan lupa download UKI guys! https://uki.booyah.cc/mobile/ #uki #ukiapp,6971838111374445826,https://www.tiktok.com/@afia_300/video/6971838111374445826?lang=en,111200.0,9.0,1033.0,16.0,"['uki', 'ukiapp']",,,
afia_300,12600.0,2021-06-09,Jangan sampe lupa guys download UKI ya! https://uki.booyah.cc/mobile/ #uki #ukiapp,6971834245463428353,https://www.tiktok.com/@afia_300/video/6971834245463428353?lang=en,101100.0,12.0,386.0,13.0,"['uki', 'ukiapp']",,,
agusrabb33_,101000.0,2021-06-09,kamu ingin menemukan cintamu yang manis hingga kamu lupa makan. downdload aplikasi uki sekrang dan temukan cintamu yg manis #uki #ukiapp,6971797125726276865,https://www.tiktok.com/@agusrabb33_/video/6971797125726276865?lang=en,105900.0,7.0,571.0,9.0,"['uki', 'ukiapp']",,,
ayubiii,355900.0,2021-06-09,kalian pernah gini gak?? #uki #ukiapp,6971680428453268738,https://www.tiktok.com/@ayubiii/video/6971680428453268738?lang=en,1270.0,0.0,33.0,2.0,"['uki', 'ukiapp']",,,
ayumustika_,10600.0,2021-06-09,"yuk ketemu hal-hal seru di UKI, yuk buruan download. #uki #ukiapp #ukidownloadapp",6971838633502412033,https://www.tiktok.com/@ayumustika_/video/6971838633502412033?lang=en,170600.0,0.0,2834.0,4.0,"['uki', 'ukiapp', 'ukidownloadapp']",,,
badzesalam03,203500.0,2021-06-09,"walaupun mama papa melarang pacaran, komunikasi kita tetap berjalan berkat aplikasi UKI ❤ #uki #ukiapp #download #fyp #fypシ #viral #trending",6971792738782055681,https://www.tiktok.com/@badzesalam03/video/6971792738782055681?lang=en,103500.0,649.0,1216.0,23.0,"['uki', 'ukiapp', 'download', 'fyp', 'fypシ', 'viral', 'trending']",,,
badzesalam03,203500.0,2021-06-09,"walaun orang tua kita melarang bertemu, cinta kita akan terus bersama ditemani aplikasi UKI ❤ #uki #ukiapp #download #fyp #fypシ #viral #trending",6971764898111966465,https://www.tiktok.com/@badzesalam03/video/6971764898111966465?lang=en,107500.0,771.0,2029.0,14.0,"['uki', 'ukiapp', 'download', 'fyp', 'fypシ', 'viral', 'trending']",,,
cewek.mancung,5507.0,2021-06-09,curhat ternyaman bareng kenalan UKI #uki #ukiapp,6971777373008039169,https://www.tiktok.com/@cewek.mancung/video/6971777373008039169?lang=en,101400.0,0.0,216.0,2.0,"['uki', 'ukiapp']",,,
cewek.mancung,5507.0,2021-06-09,setelah lama chatting di UKI rasa pingin jumpa pun hadir #uki #ukiapp,6971787272937114882,https://www.tiktok.com/@cewek.mancung/video/6971787272937114882?lang=en,100300.0,0.0,228.0,3.0,"['uki', 'ukiapp']",,,
dennyracmattullah,128000.0,2021-06-09,punya pacar !! download uki link di bio ya https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #pilihan,6971792494535134465,https://www.tiktok.com/@dennyracmattullah/video/6971792494535134465?lang=en,107200.0,9.0,600.0,30.0,"['uki', 'ukiapp', 'fyp', 'pilihan']",,,
dennyracmattullah,128000.0,2021-06-09,mau ketemu kamu !! download uki link di bio ya https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #pilihan,6971792957460450561,https://www.tiktok.com/@dennyracmattullah/video/6971792957460450561?lang=en,108200.0,11.0,1310.0,28.0,"['uki', 'ukiapp', 'fyp', 'pilihan']",,,
dhiyo1998,135100.0,2021-06-09,"Temukan dia yg slama ini kamu cari,download aplikasi UKI sekarang https://uki.booyah.cc/mobile/ #uki #ukiapp",6971821684705774849,https://www.tiktok.com/@dhiyo1998/video/6971821684705774849?lang=en,110500.0,0.0,1145.0,14.0,"['uki', 'ukiapp']",,,
dhiyo1998,135100.0,2021-06-09,"Asiknya sampe lupa makan,download aplikasi UKI sekarang https://uki.booyah.cc/mobile/ #uki #ukiapp",6971821068239572226,https://www.tiktok.com/@dhiyo1998/video/6971821068239572226?lang=en,130500.0,0.0,551.0,16.0,"['uki', 'ukiapp']",,,
doa_ayumi,35900.0,2021-06-09,"#uki #ukiapp seneng bgt akhirnya bisa ketemuan ama doi yg selama ini chat di uki,,, jgn lupa download uki",6971829796775021825,https://www.tiktok.com/@doa_ayumi/video/6971829796775021825?lang=en,111400.0,0.0,603.0,15.0,"['uki', 'ukiapp']",,,
doa_ayumi,35900.0,2021-06-09,#uki #ukiapp  orang tua protektif? Tenang kan ada uki ... bisa deket sama dia lewat hp kamu,6971822074499288321,https://www.tiktok.com/@doa_ayumi/video/6971822074499288321?lang=en,106300.0,0.0,728.0,18.0,"['uki', 'ukiapp']",,,
elzaraproject,169.0,2021-06-09,"Abis kena omel dan ortu dijelasin sejelas jelasnya, akhirnya diizinin pergi guys! Jangan lupa download UKI APPS sekarang juga ya! #uki #ukiapp #fyp",6971800188444806401,https://www.tiktok.com/@elzaraproject/video/6971800188444806401?lang=en,4821.0,0.0,212.0,24.0,"['uki', 'ukiapp', 'fyp']",,,
elzaraproject,169.0,2021-06-09,"Gegara asyik chatting sama temen di UKI, auto diomelin ortu deh. Yuk download UKI APPS sekarang juga ya! #uki #ukiapp #fyp #foryourpage",6971788596739181825,https://www.tiktok.com/@elzaraproject/video/6971788596739181825?lang=en,4822.0,0.0,211.0,24.0,"['uki', 'ukiapp', 'fyp', 'foryourpage']",,,
febyres27,8531.0,2021-06-09,ayuk kencan #uki #ukiapp #ukiapps ukiapps,6971686979004026114,https://www.tiktok.com/@febyres27/video/6971686979004026114?lang=en,112000.0,0.0,599.0,10.0,"['uki', 'ukiapp', 'ukiapps']",,,
febyres27,8531.0,2021-06-09,kencan terlarang. yuk.download uki #uki #ukiapp #uki apps,6971695719732268289,https://www.tiktok.com/@febyres27/video/6971695719732268289?lang=en,110200.0,0.0,423.0,15.0,"['uki', 'ukiapp']",,,
ghibaja,2067.0,2021-06-09,"Wah, teknik baru untuk keluar rumah nih. #uki #ukiapp #capcut #BounceBackID",6971740148195200257,https://www.tiktok.com/@ghibaja/video/6971740148195200257?lang=en,18000.0,0.0,181.0,3.0,"['uki', 'ukiapp', 'capcut', 'BounceBackID']",,,
ghibaja,2067.0,2021-06-09,Jangan terlalu fokus ntar ketahuan klo backstreet wkwkwkw. #uki #ukiapp #xyzbca #capcut,6971637840740420865,https://www.tiktok.com/@ghibaja/video/6971637840740420865?lang=en,14200.0,8.0,180.0,3.0,"['uki', 'ukiapp', 'xyzbca', 'capcut']",,,
jacks_0197,3156.0,2021-06-09,Ujian Cinta larangan keluarga. download UKI dan mari ketemu disana #uki #ukiapp,6971739663325285633,https://www.tiktok.com/@jacks_0197/video/6971739663325285633?lang=en,101200.0,10.0,383.0,24.0,"['uki', 'ukiapp']",,,
jajaqquy,25600.0,2021-06-09,serukan rasanya punya pacar😍 yuk buruan download #uki #ukiapp https://uki.booyah.cc/mobile/ dan temukan pasangan yang kamu inginkan,6971805059940224258,https://www.tiktok.com/@jajaqquy/video/6971805059940224258?lang=en,110000.0,68.0,655.0,2.0,"['uki', 'ukiapp']",,,
jajaqquy,25600.0,2021-06-09,kamu ingin hari2mu asyik yuk buruan download #uki #ukiapp  https://uki.booyah.cc/mobile/ dan temukan orang special mu dan jatuh cinta😍,6971717517832211713,https://www.tiktok.com/@jajaqquy/video/6971717517832211713?lang=en,120000.0,68.0,532.0,2.0,"['uki', 'ukiapp']",,,
jjjuma1401,7050.0,2021-06-09,"cinta rahasiaku di uki, mau ketemu pasanganmu juga? yuk download uki #uki #ukiapp",6971794356256787714,https://www.tiktok.com/@jjjuma1401/video/6971794356256787714?lang=en,100500.0,13.0,264.0,1.0,"['uki', 'ukiapp']",,,
jjjuma1401,7050.0,2021-06-09,"siapa nih yg suka kyk gini? di uki aku nemuin cinta rahasiaku, yuk download uki #uki #ukiapp",6971795033884249345,https://www.tiktok.com/@jjjuma1401/video/6971795033884249345?lang=en,100400.0,13.0,219.0,1.0,"['uki', 'ukiapp']",,,
kaisa650,689.0,2021-06-09,"Ingin menemukan sesuatu yg begitu asik,yuk donwload aplikasi UKI skrng,#uki #ukiapp",6971674703949810946,https://www.tiktok.com/@kaisa650/video/6971674703949810946?lang=en,10200.0,0.0,176.0,0.0,"['uki', 'ukiapp']",,,
kaisa650,689.0,2021-06-09,"Ingin menemukan yg bnr2 ingin km temui.??? Donwload aplikasi UKI skrng,#uki #ukiapp",6971708332524588289,https://www.tiktok.com/@kaisa650/video/6971708332524588289?lang=en,10200.0,0.0,178.0,0.0,"['uki', 'ukiapp']",,,
mauuuit,320.0,2021-06-09,yuk download ukii dan temukan pasanganmu #uki #ukiapp #fypシ,6971715478796373250,https://www.tiktok.com/@mauuuit/video/6971715478796373250?lang=en,2068.0,15.0,41.0,28.0,"['uki', 'ukiapp', 'fypシ']",,,
mauuuit,320.0,2021-06-09,saking ke asikan chattan di uki. ayo buruan download uki sekarang#uki #ukiapp #fypシ,6971713387646438658,https://www.tiktok.com/@mauuuit/video/6971713387646438658?lang=en,2065.0,12.0,41.0,30.0,"['uki', 'ukiapp', 'fypシ']",,,
mimi_xaa,29000.0,2021-06-09,Apakah kalian pengen menemukan sesuatu yg seru? yuk donload uki https://uki.booyah.cc/mobile/ #uki #ukiapp,6971790583656451329,https://www.tiktok.com/@mimi_xaa/video/6971790583656451329?lang=en,110700.0,0.0,1155.0,3.0,"['uki', 'ukiapp']",,,
mimi_xaa,29000.0,2021-06-09,Baru tau ada aplikasi se seru ini yuk donload uki https://uki.booyah.cc/mobile/ #uki #ukiapp,6971793854718577921,https://www.tiktok.com/@mimi_xaa/video/6971793854718577921?lang=en,133000.0,0.0,780.0,3.0,"['uki', 'ukiapp']",,,
niken_zulia,112500.0,2021-06-09,orang tua ku curiga #uki #ukiapp,6971677873547644162,https://www.tiktok.com/@niken_zulia/video/6971677873547644162?lang=en,102900.0,74.0,682.0,39.0,"['uki', 'ukiapp']",,,
nitamita.51,11600.0,2021-06-09,Mencoba Backstreet. Larangan Keluarga. Download UKI dan temukan aku disana #uki #ukiapp,6971724881184492802,https://www.tiktok.com/@nitamita.51/video/6971724881184492802?lang=en,105300.0,0.0,453.0,22.0,"['uki', 'ukiapp']",,,
nitamita.51,11600.0,2021-06-09,Pacaran diam-diam. Larangan Keluarga. Download UKI app dan temukan aku disana #ukiapp #uki,6971725816291953921,https://www.tiktok.com/@nitamita.51/video/6971725816291953921?lang=en,105300.0,0.0,480.0,19.0,"['ukiapp', 'uki']",,,
nitnott0420,13200.0,2021-06-09,Kencan OL.. dilarang keluarga??  Download UKI temukan teman rahasiamu.. #uki #ukiapp #ukiappdownload,6971816219284442369,https://www.tiktok.com/@nitnott0420/video/6971816219284442369?lang=en,14000.0,9.0,920.0,1.0,"['uki', 'ukiapp', 'ukiappdownload']",,,
nitnott0420,13200.0,2021-06-08,Mau ketemu teman kencan rahasiamu...?Download UKI.. temukan disana.. #uki #ukiapp #ukiappdownload,6971465904966126850,https://www.tiktok.com/@nitnott0420/video/6971465904966126850?lang=en,101000.0,0.0,0.0,1.0,"['uki', 'ukiapp', 'ukiappdownload']",,,
,,,,,,,,,,,10217.0,,
nurul.urza,5520.0,2021-06-09,dari pada diem-diem mending download uki aja sekarang juga #ukiapk #ukiappdownload #ukiapp #uki #BounceBackID,6971731111680544001,https://www.tiktok.com/@nurul.urza/video/6971731111680544001?lang=en,103800.0,10.0,1011.0,27.0,"['ukiapk', 'ukiappdownload', 'ukiapp', 'uki', 'BounceBackID']",,,
nurul.urza,5520.0,2021-06-09,"jaman sekarang emg serba digital,cari pacar aja skrg pada lewat UKI,yuk download uki sekarang juga #uki #ukiapp #ukiappdownload #ukiapk #BounceBackID",6971663180720360705,https://www.tiktok.com/@nurul.urza/video/6971663180720360705?lang=en,114600.0,14.0,1090.0,70.0,"['uki', 'ukiapp', 'ukiappdownload', 'ukiapk', 'BounceBackID']",,,
panggilakunay_,330.0,2021-06-09,cari pasanganmu sekarang juga dengan mendownload aplikasi uki ! #uki #ukiapp #fyp,6971652532703694081,https://www.tiktok.com/@panggilakunay_/video/6971652532703694081?lang=en,1205.0,0.0,176.0,1.0,"['uki', 'ukiapp', 'fyp']",,,
public_squishy,70800.0,2021-06-09,pokoknya ayo download UKI gaada ruginya fix 😂https://uki.booyah.cc/mobile/#Uki #ukiapp,6971742410426551554,https://www.tiktok.com/@public_squishy/video/6971742410426551554?lang=en,120300.0,12.0,703.0,28.0,"['uki', 'ukiapp']",,,
public_squishy,70800.0,2021-06-09,sampe nyuekin mama 🥺 ayo download UKI https://uki.booyah.cc/mobile/#Uki #ukiapp,6971729465839832322,https://www.tiktok.com/@public_squishy/video/6971729465839832322?lang=en,110300.0,10.0,1097.0,30.0,"['uki', 'ukiapp']",,,
rinuspile2018,10300.0,2021-06-09,Saatnya menyenangkan diri bersama #uki #ukiapp #tiktokdrama,6971792333255789826,https://www.tiktok.com/@rinuspile2018/video/6971792333255789826?lang=en,51300.0,0.0,245.0,8.0,"['uki', 'ukiapp', 'tiktokdrama']",,,
rinuspile2018,10300.0,2021-06-09,Larangan orang tua bagian 1 #uki #ukiapp #tiktokdrama,6971566340503014658,https://www.tiktok.com/@rinuspile2018/video/6971566340503014658?lang=en,25000.0,0.0,876.0,11.0,"['uki', 'ukiapp', 'tiktokdrama']",,,
ruby.ophelia,19500.0,2021-06-09,Giliran dpt temen baru dari #uki malah suruh hapus :( yajelas gamau!!! #ukiapp https://uki.booyah.cc/mobile/,6971735914095627522,https://www.tiktok.com/@ruby.ophelia/video/6971735914095627522?lang=en,112100.0,254.0,1020.0,42.0,"['uki', 'ukiapp']",,,
ruby.ophelia,19500.0,2021-06-09,Akhirnya ada cara jg buat ketemu temen #uki yuk download #ukiapp dan temukan aku disana 😍 https://uki.booyah.cc/mobile/,6971733454665043202,https://www.tiktok.com/@ruby.ophelia/video/6971733454665043202?lang=en,101900.0,244.0,852.0,29.0,"['uki', 'ukiapp']",,,
syahrizal067,10300.0,2021-06-09,"selalu ada cara di uki untuk bisa ketemu dengan pasangan ,, https://uki.booyah.cc/mobile/ #uki #ukiapp",6971752021737180417,https://www.tiktok.com/@syahrizal067/video/6971752021737180417?lang=en,110300.0,0.0,33.0,1.0,"['uki', 'ukiapp']",,,
syahrizal067,10300.0,2021-06-09,"Cuma di uki nemu pasangan sampai lupa makan karena asiknya ,, Yuk donwload uki , https://uki.booyah.cc/mobile/ #uki #ukiapp",6971761436032879873,https://www.tiktok.com/@syahrizal067/video/6971761436032879873?lang=en,115300.0,0.0,218.0,1.0,"['uki', 'ukiapp']",,,
yola_erlianda,106600.0,2021-06-09,"ayo temukan takdirmu di aplikasi UKI,download UKI dan jatuh cintalah.. #fyp #ukiapp #uki",6971735748475161858,https://www.tiktok.com/@yola_erlianda/video/6971735748475161858?lang=en,134100.0,0.0,909.0,12.0,"['fyp', 'ukiapp', 'uki']",,,
yola_erlianda,106600.0,2021-06-09,"temukan pacar rahasiamu di UKI ,DOWNLOAD UKI #uki #ukiapp #fyp",6971734088524877058,https://www.tiktok.com/@yola_erlianda/video/6971734088524877058?lang=en,164300.0,0.0,432.0,7.0,"['uki', 'ukiapp', 'fyp']",,,
zcarmels,22300.0,2021-06-09,akhirnya .. apakah akan happy ending? yuk download https://uki.booyah.cc/mobile/#Uki #Ukiapp,6971826603475127553,https://www.tiktok.com/@zcarmels/video/6971826603475127553?lang=en,132000.0,75.0,316.0,15.0,"['uki', 'ukiapp']",,,
zcarmels,22300.0,2021-06-09,story ku bersama uki part 1 https://uki.booyah.cc/mobile/ #Uki #Ukiapp,6971825957095165185,https://www.tiktok.com/@zcarmels/video/6971825957095165185?lang=en,155000.0,132.0,321.0,13.0,"['uki', 'ukiapp']",,,
zyosephr,14400.0,2021-06-09,Sebel bngt deh! untung ada aplikasi UKI! yuk download buruan https://uki.booyah.cc/mobile/ #uki #ukiapp,6971726638807633154,https://www.tiktok.com/@zyosephr/video/6971726638807633154?lang=en,164400.0,367.0,2262.0,17.0,"['uki', 'ukiapp']",,,
zyosephr,14400.0,2021-06-09,Ayo bertemu diUKI! jangan lupa download ya! https://uki.booyah.cc/mobile/ #uki #ukiapp,6971772990170172674,https://www.tiktok.com/@zyosephr/video/6971772990170172674?lang=en,224600.0,77.0,2804.0,13.0,"['uki', 'ukiapp']",,,
acha1606,1306.0,2021-06-09,"Mencoba bertemu dengan kekasih meskipun berbohong, apakah cerita selanjut nya🥺Yuk download Uki dan kita ketemu disna💜 #Uki #Ukiapp",6971750792239860993,https://www.tiktok.com/@acha1606/video/6971750792239860993?lang=en,101600.0,6.0,221.0,32.0,"['uki', 'ukiapp']",,,
acha1606,1306.0,2021-06-09,kenapa sih ayah ibu curiga aku punya kekasih🥺 Yuk download Uki sekarang juga supaya kita gak galau💜 #Uki #Ukiapp,6971703753288224001,https://www.tiktok.com/@acha1606/video/6971703753288224001?lang=en,102700.0,8.0,222.0,34.0,"['uki', 'ukiapp']",,,
alwididuara,1247.0,2021-06-09,gak di bolehin mak ku #uki #ukiapp,6971754626731232513,https://www.tiktok.com/@alwididuara/video/6971754626731232513?lang=en,1012.0,1.0,2.0,0.0,"['uki', 'ukiapp']",,,
amaliayun,12100.0,2021-06-09,Daripada pacaran diam diam...yuk download uki aja...kita ketemuan disana #uki#ukiapp https://uki.booyah.cc/mobile/,6971783839555259650,https://www.tiktok.com/@amaliayun/video/6971783839555259650?lang=en,1414.0,0.0,222.0,34.0,"['uki', 'ukiapp']",,,
dhytashl18,86900.0,2021-06-09,siapa yang suka diem2 keluar rumah hayo? hehe yuk download uki app & temukan cintamu! #uki #ukiapp #fyp #fypシ #foryourpage #drama,6971800320951209217,https://www.tiktok.com/@dhytashl18/video/6971800320951209217?lang=en,102400.0,3.0,707.0,11.0,"['uki', 'ukiapp', 'fyp', 'fypシ', 'foryourpage', 'drama']",,,
dhytashl18,86900.0,2021-06-09,kalian pernah dilarang pacaran sama ortu? yuk join aja di uki app & temukan pasangan rahasiamu! #uki #ukiapp #fyp #fypシ #foryourpage #drama,6971797816578542849,https://www.tiktok.com/@dhytashl18/video/6971797816578542849?lang=en,102000.0,2.0,1253.0,18.0,"['uki', 'ukiapp', 'fyp', 'fypシ', 'foryourpage', 'drama']",,,
anhytaviaintan03,1419.0,2021-06-09,kalau Kalian Gmna Nih ?? Yuk buruan Download Apk UKI Skrg Yg Pastinya Akan Bertemu Aku Dsana Nntinya🥰🥰 #uki #ukiapk #ukidownloadapp,6971709877462830338,https://www.tiktok.com/@anhytaviaintan03/video/6971709877462830338?lang=en,1192.0,0.0,175.0,0.0,"['uki', 'ukiapk', 'ukidownloadapp']",,,
anhytaviaintan03,1419.0,2021-06-09,kalau Kalian Gmna Nih ?? Yuk buruan Download Apk UKI Skrg Yg Pastinya Akan Bertemu Aku Dsana Nntinya🥰🥰 #uki #ukiapk #ukidownloadapp,6971704394412870913,https://www.tiktok.com/@anhytaviaintan03/video/6971704394412870913?lang=en,1223.0,0.0,180.0,0.0,"['uki', 'ukiapk', 'ukidownloadapp']",,,
arcelia_doreen,3396.0,2021-06-09,Aahh kena omel kan.. Download UKI yuk.. #uki #ukiapp #ukiapk #fyp #foryou,6971765786683657473,https://www.tiktok.com/@arcelia_doreen/video/6971765786683657473?lang=en,105400.0,67.0,124.0,3.0,"['uki', 'ukiapp', 'ukiapk', 'fyp', 'foryou']",,,
arcelia_doreen,3396.0,2021-06-09,Akhirnya bisa kluar.. Download UKI yuk.. #uki #ukiapp #ukiapk #fyp #foryou,6971767455647599873,https://www.tiktok.com/@arcelia_doreen/video/6971767455647599873?lang=en,106300.0,63.0,128.0,2.0,"['uki', 'ukiapp', 'ukiapk', 'fyp', 'foryou']",,,
cacafelisha0,140.0,2021-06-09,walaupun ayah dan ibuku selalu melarang ku untuk berkencan akan tetapi aku akan tetap memilih UKI app #uki #UKIapp #fyp #fypシ,6971693827530755330,https://www.tiktok.com/@cacafelisha0/video/6971693827530755330?lang=en,104900.0,2.0,1.0,0.0,"['uki', 'ukiapp', 'fyp', 'fypシ']",,,
cici_koto,2905.0,2021-06-09,"ibu dan ayah melarangku berkencan, tapi aku tetap pilih UKI, dan temukan jodoh ku disana, yu download UKI #ukiapp #uki #fyp #fypシ",6971684393391836418,https://www.tiktok.com/@cici_koto/video/6971684393391836418?lang=en,121900.0,0.0,469.0,8.0,"['ukiapp', 'uki', 'fyp', 'fypシ']",,,
